,size,n,dt,dx,a,xmed,stdvar,skew,iter,time,program_time,a_real,xmod_real,stdvar_real,skew_real,real_time
89,250,2048,5e-16,0.1221,100.0,52.63924609,5.13227187,0.0,2,9.999999999999999e-16,0.0015995502,99.99998933,52.63922166,5.14204862,-0.09692744,3.9478944226e-14
90,250,4096,1.0000000000000001e-20,0.06104,100.0,20.00025364,5.04047649,0.0,55067,5.507000000000001e-16,42.2285284996,100.0,20.00020596,5.04047639,0.0,2.1739558453999998e-14
91,250,4096,5e-20,0.06104,100.0,20.00243282,5.04048088,0.0,11014,5.507000000000001e-16,8.4377746582,100.0,20.00238535,5.04048079,0.0,2.1740742907e-14
92,250,4096,1e-19,0.06104,100.0,20.00243282,5.04048088,0.0,5507,5.507000000000001e-16,4.2215356827,100.0,20.00238535,5.04048079,0.0,2.1740742907e-14
93,250,4096,5e-19,0.06104,100.0,20.02422459,5.04052482,0.0,1102,5.51e-16,0.8515188694,100.0,20.02417921,5.04052473,0.0,2.1752587405e-14
94,250,4096,1e-18,0.06104,100.0,20.02422459,5.04052482,0.0,551,5.51e-16,0.43604254719999996,100.0,20.02417921,5.04052473,0.0,2.1752587405e-14
95,250,4096,5e-18,0.06104,100.0,20.31478158,5.04111293,0.0,111,5.549999999999999e-16,0.0925474167,100.0,20.31473825,5.04111284,0.0,2.1910502297e-14
96,250,4096,1e-17,0.06104,100.0,20.67797781,5.04185395,0.0,56,5.599999999999999e-16,0.05016183849999999,100.0,20.67793087,5.04185386,0.0,2.2107893135e-14
97,250,4096,5e-17,0.06104,100.0,23.58354765,5.04801716,0.0,12,6e-16,0.0102174282,100.0,23.58350164,5.04801706,0.0,2.368703275e-14
98,250,4096,1e-16,0.06104,100.0,23.58354765,5.04801716,0.0,6,6e-16,0.0056500435,100.0,23.58350164,5.04801706,0.0,2.368703275e-14
99,250,4096,5e-16,0.06104,100.0,52.63924609,5.13227187,0.0,2,9.999999999999999e-16,0.0028820038,99.99998933,52.63922166,5.14204862,-0.09692744,3.9478944226e-14
100,400,256,1.0000000000000001e-20,1.5619999999999998,99.99989389,20.00002498,7.75909956,-5.01661472,200713,2.007e-15,45.4226381779,100.0,19.99997728,5.04047593,0.0,2.173943417e-14
101,400,256,5e-20,1.5619999999999998,99.99989388,20.00082231,7.75918909,-5.01675223,40145,2.007e-15,9.016008615499999,100.0,20.00077468,5.04047754,0.0,2.1739867544e-14
102,400,256,1e-19,1.5619999999999998,99.99989388,20.00181897,7.75930101,-5.01692411,20074,2.007e-15,4.526506424,100.0,20.00177144,5.04047955,0.0,2.1740409261e-14
103,400,256,5e-19,1.5619999999999998,99.99989384,20.00779894,7.75997255,-5.01795532,4017,2.009e-15,0.9067094326,100.0,20.00775199,5.04049161,0.0,2.1743659562e-14
104,400,256,1e-18,1.5619999999999998,99.99989378,20.01776556,7.76109186,-5.01967372,2010,2.0100000000000003e-15,0.4588034153,100.0,20.01771956,5.0405117,0.0,2.1749076725e-14
105,400,256,5e-18,1.5619999999999998,99.99989355,20.05763204,7.76557018,-5.02654372,404,2.02e-15,0.0957546234,100.0,20.05758968,5.04059214,0.0,2.1770745301e-14
106,400,256,1e-17,1.5619999999999998,99.99989355,20.05763204,7.76557018,-5.02654372,203,2.0300000000000002e-15,0.0504691601,100.0,20.05758968,5.04059214,0.0,2.1770745301e-14
107,400,256,5e-17,1.5619999999999998,99.99988883,20.85496628,7.85549078,-5.16273306,43,2.15e-15,0.009814500799999999,100.0,20.85492484,5.04221734,0.0,2.2204086483e-14
108,400,256,1e-16,1.5619999999999998,99.99988274,21.85164677,7.9688113,-5.32968183,23,2.3e-15,0.005355358100000001,100.0,21.85159747,5.04429313,0.0,2.2745765979000002e-14
109,400,256,5e-16,1.5619999999999998,99.99982595,29.82564902,8.90661653,-6.53018779,7,3.5e-15,0.0017197132000000002,100.0,29.82560264,5.06266482,0.0,2.7079531437000002e-14
110,400,512,1.0000000000000001e-20,0.7812,100.0,20.00013424,5.49649297,0.0,197195,1.9719999999999997e-15,53.2876021862,100.0,20.00008654,5.04047615,0.0,2.1739493555e-14
111,400,512,5e-20,0.7812,100.0,20.00053993,5.49650258,0.0,39441,1.9719999999999997e-15,10.6487152576,100.0,20.00049228,5.04047697,0.0,2.1739714063e-14
112,400,512,1e-19,0.7812,100.0,20.00155417,5.49652662,0.0,19722,1.9719999999999997e-15,5.2823159695,100.0,20.00150662,5.04047902,0.0,2.1740265334e-14
113,400,512,5e-19,0.7812,100.0,20.00155417,5.49652662,0.0,3946,1.973e-15,1.0737431049,100.0,20.00150662,5.04047902,0.0,2.1740265334e-14
114,400,512,1e-18,0.7812,100.0,20.00155417,5.49652662,0.0,1974,1.9739999999999997e-15,0.5356276035,100.0,20.00150662,5.04047902,0.0,2.1740265334e-14
115,400,512,5e-18,0.7812,100.0,20.06240846,5.49797003,0.0,397,1.985e-15,0.1108477116,100.0,20.06236653,5.04060179,0.0,2.1773341417e-14
116,400,512,1e-17,0.7812,100.0,20.16383228,5.50037973,0.0,200,1.9999999999999998e-15,0.05699777599999999,100.0,20.16378347,5.04080678,0.0,2.182846083e-14
117,400,512,5e-17,0.7812,100.0,20.56952756,5.510068799999999,0.0,42,2.1e-15,0.012034893,100.0,20.56948045,5.0416319000000005,0.0,2.2048951749e-14
118,400,512,1e-16,0.7812,100.0,20.56952756,5.510068799999999,0.0,22,2.2e-15,0.0123715401,100.0,20.56948045,5.0416319000000005,0.0,2.2048951749e-14
119,400,512,5e-16,0.7812,100.0,20.56952756,5.510068799999999,0.0,6,3e-15,0.001843214,100.0,20.56948045,5.0416319000000005,0.0,2.2048951749e-14
